kglobalaccel 5.76.0-1
kgoldrunner 20.08.3-1
kgpg 20.08.3-1
kguiaddons 5.76.0-1
khangman 20.08.3-1
khelpcenter 20.08.3-1
kholidays 1:5.76.0-1
khotkeys 5.20.3-1
khtml 5.76.0-1
ki18n 5.76.0-1
kiconthemes 5.76.0-1
kidentitymanagement 20.08.3-1
kidletime 5.76.0-1
kig 20.08.3-1
kigo 20.08.3-1
killbots 20.08.3-1
kimagemapeditor 20.08.3-1
kimap 20.08.3-1
kinfocenter 5.20.3-1
kinit 5.76.0-1
kio 5.76.0-1
kio-extras 20.08.3-1
kio-gdrive 20.08.3-1
kipi-plugins 20.08.3-1
kirigami-gallery 20.08.3-1
kirigami2 5.76.0-1
kiriki 20.08.3-1
kitemmodels 5.76.0-1
kitemviews 5.76.0-1
kiten 20.08.3-1
kitinerary 20.08.3-1
kjobwidgets 5.76.0-1
kjs 5.76.0-1
kjumpingcube 20.08.3-1
kldap 20.08.3-1
kleopatra 20.08.3-1
klettres 20.08.3-1
klickety 20.08.3-1
klines 20.08.3-1
kmag 20.08.3-1
kmahjongg 20.08.3-1
kmail 20.08.3-1
kmail-account-wizard 20.08.3-1
kmailtransport 20.08.3-1
kmbox 20.08.3-1
kmenuedit 5.20.3-1
kmime 20.08.3-1
kmines 20.08.3-1
kmix 20.08.3-2
kmod 27-2
kmousetool 20.08.3-1
kmouth 20.08.3-1
kmplot 20.08.3-1
knavalbattle 20.08.3-1
knetattach 5.20.3-1
knetwalk 20.08.3-1
knewstuff 5.76.0-1
knights 20.08.3-1
knotes 20.08.3-1
knotifications 5.76.0-1
knotifyconfig 5.76.0-1
kolf 20.08.3-1
kollision 20.08.3-1
kolourpaint 20.08.3-1
kompare 20.08.3-1
konqueror 20.08.3-1
konquest 20.08.3-1
konsole 20.08.3-1
kontact 20.08.3-1
kontactinterface 20.08.3-1
kopete 20.08.3-1
korganizer 20.08.3-1
kpackage 5.76.0-1
kparts 5.76.0-1
kpatience 20.08.3-1
kpeople 5.76.0-1
kpeoplevcard 0.1-1
kpimtextedit 20.08.3-1
kpkpass 20.08.3-1
kplotting 5.76.0-1
kpty 5.76.0-1
kqtquickcharts 20.08.3-1
kquickcharts 5.76.0-1
krb5 1.18.2-1
krdc 20.08.3-1
kreversi 20.08.3-1
krfb 20.08.3-1
kross 5.76.0-1
kross-interpreters 20.08.3-1
kruler 20.08.3-1
krunner 5.76.0-1
kscreen 5.20.3-1
kscreenlocker 5.20.3-1
kservice 5.76.0-1
kshisen 20.08.3-1
ksirk 20.08.3-1
ksmtp 20.08.3-1
ksnakeduel 20.08.3-1
kspaceduel 20.08.3-1
ksquares 20.08.3-1
ksshaskpass 5.20.3-1
ksudoku 20.08.3-1
ksysguard 5.20.3-1
ksystemlog 20.08.3-1
kteatime 20.08.3-1
ktexteditor 5.76.0-1
ktextwidgets 5.76.0-1
ktimer 20.08.3-1
ktnef 20.08.3-1
ktouch 20.08.3-1
ktuberling 20.08.3-1
kturtle 20.08.3-1
kubrick 20.08.3-1
kunitconversion 5.76.0-1
kuserfeedback 1.0.0-1
kwallet 5.76.0-1
kwallet-pam 5.20.3-1
kwalletmanager 20.08.3-1
kwave 20.08.3-1
kwayland 5.76.0-1
kwayland-integration 5.20.3-1
kwayland-server 5.20.3-2
kwidgetsaddons 5.76.0-1
kwin 5.20.3-2
kwindowsystem 5.76.0-1
kwordquiz 20.08.3-1
kwrite 20.08.3-1
kwrited 5.20.3-1
kxmlgui 5.76.0-1
l-smash 2.14.5-2
lame 3.100-3
lcms2 2.11-2
ldb 1:2.2.0-1
ldns 1.7.1-2
less 563-1
libaccounts-glib 1.25-1
libaccounts-qt 1.16-2
libaec 1.0.4-1
libaio 0.3.112-2
libakonadi 20.08.3-2
libarchive 3.4.3-1
libass 0.15.0-2
libassuan 2.5.4-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libavtp 0.1.0-2
libblockdev 2.24-1
libbluray 1.2.1-1
libbs2b 3.1.0-7
libbsd 0.10.0-2
libburn 1.5.2-2
libbytesize 2.4-1
libcaca 0.99.beta19-3
libcanberra 0.30+2+gc0620e4-3
libcanberra-pulse 0.30+2+gc0620e4-3
libcap 2.45-2
libcap-ng 0.8-1
libcloudproviders 0.3.1-2
libconfig 1.7.2-3
libcroco 0.6.13-2
libcups 2.3.3+121+g63ffc5cd7-1
libdaemon 0.14-5
libdatrie 0.2.12-2
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk3 16.04.0-4
libdbusmenu-qt5 0.9.3+16.04.20160218-5
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-1
libdmtx 0.7.5-2
libdrm 2.4.103-2
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdnav 6.1.0-2
libdvdread 6.1.1-1
libebml 1.4.0-1
libebur128 1.2.4-3
libedit 20191231_3.1-2
libelf 0.181-1
libepoxy 1.5.4-2
libev 4.33-1
libevdev 1.10.0-1
libevent 2.1.12-1
libexif 0.6.22-1
libfakekey 0.3-2
libfdk-aac 2.0.1-2
libffi 3.3-4
libfontenc 1.1.4-3
libgcrypt 1.8.7-1
libgee 0.20.3-2
libgit2 1:1.1.0-1
libglvnd 1.3.2-1
libgme 0.6.3-1
libgnomekbd 3.26.1+2+g8d02ebd-2
libgpg-error 1.39-1
libgphoto2 2.5.26-1
libgravatar 20.08.3-1
libgudev 234-1
libgusb 0.3.5-1
libibus 1.5.23+1+gdd4cc5b0-1
libical 3.0.8-2
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.36-1
libidn2 2.3.0-1
libiec61883 1.2.0-6
libieee1284 0.2.11-9
libimobiledevice 1.3.0-1
libinput 1.16.3-1
libinstpatch 1.1.5-1
libjpeg-turbo 2.0.6-1
libkate 0.4.1-7
libkcddb 20.08.3-1
libkcompactdisc 20.08.3-1
libkdcraw 20.08.3-1
libkdegames 20.08.3-1
libkdepim 20.08.3-1
libkeduvocdocument 20.08.3-1
libkexiv2 20.08.3-1
libkgapi 20.08.3-1
libkipi 20.08.3-1
libkleo 20.08.3-1
libkmahjongg 20.08.3-1
libkolabxml 1.1.6-13
libkomparediff2 20.08.3-1
libksane 20.08.3-1
libksba 1.4.0-2
libkscreen 5.20.3-1
libksieve 20.08.3-1
libksysguard 5.20.3-1
libldap 2.4.54-1
liblqr 0.4.2-3
liblrdf 0.6.1-4
libluv 1.36.0-1
libmad 0.15.1b-9
libmatroska 1.6.2-1
libmbim 1.24.4-1
libmfx 20.3.1-1
libmicrodns 0.2.0-1
libmicrohttpd 0.9.71-1
libmm-glib 1.14.8-1
libmms 0.6.4-3
libmnl 1.0.4-3
